file,aHPC,Caudate,NAcc,VTASN
ISC_sub-control001sub-control002_task-magictrickwatching_z.nii.gz,0.00644811,0.0232331,0.0309052,0.0360688
ISC_sub-control001sub-control003_task-magictrickwatching_z.nii.gz,0.0116973,0.0263054,-0.000984718,-0.0101594
ISC_sub-control001sub-control007_task-magictrickwatching_z.nii.gz,0.00596985,0.0178082,0.0143314,0.00347671
ISC_sub-control001sub-control009_task-magictrickwatching_z.nii.gz,-0.000233398,-0.00522357,0.0338777,-0.00152879
ISC_sub-control001sub-control011_task-magictrickwatching_z.nii.gz,0.0182878,0.012454,0.0474659,0.0109123
ISC_sub-control001sub-control013_task-magictrickwatching_z.nii.gz,-0.0382522,0.0169519,-0.0210635,0.0147561
ISC_sub-control001sub-control015_task-magictrickwatching_z.nii.gz,0.0154633,0.00825682,0.00588596,0.0134983
ISC_sub-control001sub-control017_task-magictrickwatching_z.nii.gz,-0.0122547,0.0088729,0.0219541,0.0180694
ISC_sub-control001sub-control019_task-magictrickwatching_z.nii.gz,0.0193649,0.0127342,-0.0284485,-0.0153141
ISC_sub-control001sub-control021_task-magictrickwatching_z.nii.gz,0.012544,0.00574326,0.0425913,0.0178679
ISC_sub-control001sub-control023_task-magictrickwatching_z.nii.gz,0.00808946,0.011152,-0.00939995,0.0220777
ISC_sub-control001sub-control025_task-magictrickwatching_z.nii.gz,-0.00479399,0.0168941,0.0216696,0.0192274
ISC_sub-control001sub-control027_task-magictrickwatching_z.nii.gz,-0.018448,0.0247884,0.00348335,0.0114862
ISC_sub-control001sub-control029_task-magictrickwatching_z.nii.gz,0.00799927,0.0110363,0.0200567,0.0045117
ISC_sub-control001sub-control031_task-magictrickwatching_z.nii.gz,0.00671676,0.0113854,0.0151007,0.0146574
ISC_sub-control001sub-control033_task-magictrickwatching_z.nii.gz,-0.00819754,0.0335963,0.00635206,0.0163811
ISC_sub-control001sub-control035_task-magictrickwatching_z.nii.gz,-0.001253,0.00720434,-0.00306713,-0.0280853
ISC_sub-control001sub-control037_task-magictrickwatching_z.nii.gz,0.0218701,-0.00415866,0.00950961,-0.0160423
