Subj1	Subj2	grp	uniqueCur_highConf	grUniqueCur_highConf	uniqueMem_highConf	grUniqueMem_highConf	curBetaFull_highConf	grCurBetaFull_highConf	curBetaRed_highConf	grCurBetaRed_highConf	InputFile	\
sub-control001	sub-control002	1	0.15004602	0.15004602	-0.194717218	-0.194717218	-0.00396205	-0.00396205	-0.011039449	-0.011039449	ISC_sub-control001sub-control002_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control003	1	-0.156295512	-0.156295512	-0.152516191	-0.152516191	-0.00929926	-0.00929926	-0.00811674	-0.00811674	ISC_sub-control001sub-control003_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control007	1	0.103400677	0.103400677	-0.03003272	-0.03003272	0.016887417	0.016887417	0.035963556	0.035963556	ISC_sub-control001sub-control007_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control009	1	0.0710703	0.0710703	-0.120721238	-0.120721238	-0.005967677	-0.005967677	-0.007813092	-0.007813092	ISC_sub-control001sub-control009_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control011	1	-0.050181244	-0.050181244	0.050492935	0.050492935	0.014418435	0.014418435	0.035973499	0.035973499	ISC_sub-control001sub-control011_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control013	1	-0.022118498	-0.022118498	-0.166072936	-0.166072936	0.006395066	0.006395066	0.014199956	0.014199956	ISC_sub-control001sub-control013_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control015	1	-0.182911248	-0.182911248	-0.136274174	-0.136274174	0.016520357	0.016520357	0.034366261	0.034366261	ISC_sub-control001sub-control015_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control017	1	-0.172604084	-0.172604084	0.259950275	0.259950275	-0.005025817	-0.005025817	0.001074025	0.001074025	ISC_sub-control001sub-control017_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control019	1	-0.046898978	-0.046898978	-0.399671573	-0.399671573	-0.02405941	-0.02405941	-0.035312815	-0.035312815	ISC_sub-control001sub-control019_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control021	1	-0.317934248	-0.317934248	-0.088544702	-0.088544702	-0.021585429	-0.021585429	-0.034560359	-0.034560359	ISC_sub-control001sub-control021_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control023	1	-0.104257345	-0.104257345	-0.232634034	-0.232634034	0.010771769	0.010771769	0.027834997	0.027834997	ISC_sub-control001sub-control023_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control025	1	0.115711816	0.115711816	-0.424184882	-0.424184882	-0.002223664	-0.002223664	-0.00024755	-0.00024755	ISC_sub-control001sub-control025_task-magictrickwatching_z.nii.gz	\
