ID	stim_file	start_vol	end_vol
sub-control001	01_H35_combined_small.mp4	230	258
sub-control001	02_H10_combined_small.mp4	488	513
sub-control001	03_H16_combined_small.mp4	199	225
sub-control001	04_S9_combined_small.mp4	759	784
sub-control001	05_K4_combined_small.mp4	956	981
sub-control001	06_H7_combined_small.mp4	395	421
sub-control001	07_K2_combined_small.mp4	988	1011
sub-control001	08_S12_combined_small.mp4	0	30
sub-control001	09_S11_combined_small.mp4	1080	1101
sub-control001	10_S27_combined_small.mp4	792	817
sub-control001	11_K21_long_combined_small.mp4	636	667
sub-control001	12_H37_combined_small.mp4	264	288
sub-control001	13_Trick6_short_combined_small.mp4	427	455
sub-control001	14_K19_long_combined_small.mp4	701	726
sub-control001	15_S18_combined_small.mp4	926	951
sub-control001	16_H19_combined_small.mp4	518	539
sub-control001	17_Trick37_combined_small.mp4	357	389
sub-control001	18_Trick4_combined_small.mp4	68	101
sub-control001	19_H17_combined_small.mp4	598	631
sub-control001	20_Trick20_short_combined_small.mp4	326	348
sub-control001	21_S15_combined_small.mp4	293	318
sub-control001	22_K18_combined_small.mp4	135	155
sub-control001	23_K10_combined_small.mp4	109	130
sub-control001	24_Trick28_combined_small.mp4	822	852
sub-control001	25_S25_combined_small.mp4	884	920
sub-control001	26_S30_combined_small.mp4	544	566
sub-control001	27_S31_combined_small.mp4	731	751
sub-control001	28_K24_combined_small.mp4	857	878
sub-control001	29_H36_combined_small.mp4	1044	1071
sub-control001	30_H15_combined_small.mp4	36	61
sub-control001	31_K3_combined_small.mp4	674	696
sub-control001	32_K16_short_combined_small.mp4	1107	1132
sub-control001	33_S21_combined_small.mp4	571	591
sub-control001	34_Trick38_combined_small.mp4	1016	1039
sub-control001	35_Trick32_long_combined_small.mp4	161	194
sub-control001	36_Trick7_short_combined_small.mp4	460	480
sub-control002	01_H35_combined_small.mp4	453	481
sub-control002	02_H10_combined_small.mp4	323	348
sub-control002	03_H16_combined_small.mp4	515	541
sub-control002	04_S9_combined_small.mp4	234	259
sub-control002	05_K4_combined_small.mp4	677	702
sub-control002	06_H7_combined_small.mp4	173	199
sub-control002	07_K2_combined_small.mp4	1078	1101
sub-control002	08_S12_combined_small.mp4	546	576
sub-control002	09_S11_combined_small.mp4	1022	1043
sub-control002	10_S27_combined_small.mp4	1106	1131
sub-control002	11_K21_long_combined_small.mp4	356	387
sub-control002	12_H37_combined_small.mp4	960	984
sub-control002	13_Trick6_short_combined_small.mp4	866	894
sub-control002	14_K19_long_combined_small.mp4	423	448
sub-control002	15_S18_combined_small.mp4	707	732
sub-control002	16_H19_combined_small.mp4	1049	1070
sub-control002	17_Trick37_combined_small.mp4	67	99
sub-control002	18_Trick4_combined_small.mp4	27	60
