Subj1	Subj2	grp	uniqueCur_highConf	grUniqueCur_highConf	uniqueMem_highConf	grUniqueMem_highConf	curBetaFull_highConf	grCurBetaFull_highConf	curBetaRed_highConf	grCurBetaRed_highConf	InputFile	\
sub-control001	sub-control002	1	0.150046020218422	0.150046020218422	-0.194717217831836	-0.194717217831836	-0.00396204959746759	-0.00396204959746759	-0.0110394493259335	-0.0110394493259335	ISFC_sub-control001sub-control002_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control003	1	-0.156295511623244	-0.156295511623244	-0.152516191385403	-0.152516191385403	-0.00929925977289876	-0.00929925977289876	-0.00811673952106881	-0.00811673952106881	ISFC_sub-control001sub-control003_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control007	1	0.103400677336088	0.103400677336088	-0.0300327195262871	-0.0300327195262871	0.0168874174097691	0.0168874174097691	0.0359635564105936	0.0359635564105936	ISFC_sub-control001sub-control007_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control009	1	0.071070300182028	0.071070300182028	-0.120721238045713	-0.120721238045713	-0.00596767728667127	-0.00596767728667127	-0.00781309160746351	-0.00781309160746351	ISFC_sub-control001sub-control009_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control011	1	-0.0501812439048483	-0.0501812439048483	0.0504929347776173	0.0504929347776173	0.0144184352665877	0.0144184352665877	0.0359734990622939	0.0359734990622939	ISFC_sub-control001sub-control011_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control013	1	-0.0221184976375821	-0.0221184976375821	-0.166072935776102	-0.166072935776102	0.00639506630365084	0.00639506630365084	0.0141999557173403	0.0141999557173403	ISFC_sub-control001sub-control013_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control015	1	-0.182911248172539	-0.182911248172539	-0.136274173953493	-0.136274173953493	0.0165203573029974	0.0165203573029974	0.0343662607349437	0.0343662607349437	ISFC_sub-control001sub-control015_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control017	1	-0.172604083621854	-0.172604083621854	0.259950275368854	0.259950275368854	-0.00502581745599654	-0.00502581745599654	0.00107402536277265	0.00107402536277265	ISFC_sub-control001sub-control017_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control019	1	-0.0468989781331081	-0.0468989781331081	-0.399671573323585	-0.399671573323585	-0.0240594102971775	-0.0240594102971775	-0.0353128150374493	-0.0353128150374493	ISFC_sub-control001sub-control019_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control021	1	-0.31793424785027	-0.31793424785027	-0.088544702251109	-0.088544702251109	-0.0215854291191085	-0.0215854291191085	-0.0345603585202692	-0.0345603585202692	ISFC_sub-control001sub-control021_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control023	1	-0.104257344967527	-0.104257344967527	-0.232634033950384	-0.232634033950384	0.0107717687613205	0.0107717687613205	0.0278349967454585	0.0278349967454585	ISFC_sub-control001sub-control023_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control025	1	0.115711815951123	0.115711815951123	-0.42418488203649	-0.42418488203649	-0.00222366378238954	-0.00222366378238954	-0.000247550198702992	-0.000247550198702992	ISFC_sub-control001sub-control025_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control027	1	-0.0000917298875345459	-0.0000917298875345459	-0.0973147309500718	-0.0973147309500718	0.00387125581360717	0.00387125581360717	0.011606801613042	0.011606801613042	ISFC_sub-control001sub-control027_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control029	1	-0.138665788867316	-0.138665788867316	-0.0667015747645078	-0.0667015747645078	0.0137288600988317	0.0137288600988317	0.0327854364885116	0.0327854364885116	ISFC_sub-control001sub-control029_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control031	1	0.144936878209239	0.144936878209239	-0.15423671228522	-0.15423671228522	0.0143483663122092	0.0143483663122092	0.0187994776383928	0.0187994776383928	ISFC_sub-control001sub-control031_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control033	1	0.105873003031897	0.105873003031897	0.0419428465908519	0.0419428465908519	0.0136572415382353	0.0136572415382353	0.028176155551683	0.028176155551683	ISFC_sub-control001sub-control033_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control035	1	-0.203469421018726	-0.203469421018726	-0.00230925549796911	-0.00230925549796911	0.0505317934337354	0.0505317934337354	0.089242010400482	0.089242010400482	ISFC_sub-control001sub-control035_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control037	1	-0.198054940244956	-0.198054940244956	0.320996124774971	0.320996124774971	0.0266215765954211	0.0266215765954211	0.0509646094586191	0.0509646094586191	ISFC_sub-control001sub-control037_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control039	1	-0.138349935263082	-0.138349935263082	0.0524325753795323	0.0524325753795323	-0.00123999813535907	-0.00123999813535907	0.00511120062473313	0.00511120062473313	ISFC_sub-control001sub-control039_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control041	1	0.104496388525373	0.104496388525373	-0.127376319238869	-0.127376319238869	0.0103508275223488	0.0103508275223488	0.0247059643363485	0.0247059643363485	ISFC_sub-control001sub-control041_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control043	1	0.0302360324179244	0.0302360324179244	0.140936713300056	0.140936713300056	0.00422569180228279	0.00422569180228279	0.0162067776451555	0.0162067776451555	ISFC_sub-control001sub-control043_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control045	1	-0.079490115040089	-0.079490115040089	-0.162929590446912	-0.162929590446912	0.0075380721018592	0.0075380721018592	0.0211588308269504	0.0211588308269504	ISFC_sub-control001sub-control045_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control047	1	0.0186667260881261	0.0186667260881261	-0.0522310703446962	-0.0522310703446962	0.00784593481857106	0.00784593481857106	0.0242910898135918	0.0242910898135918	ISFC_sub-control001sub-control047_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-control049	1	0.128161670574212	0.128161670574212	-0.0971737977369456	-0.0971737977369456	-0.0128152413023796	-0.0128152413023796	-0.0255805211730999	-0.0255805211730999	ISFC_sub-control001sub-control049_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental004	0	-0.0450288716831625	0	-0.144127113613878	0	0.0306709075189168	0	0.0541405001019169	0	ISFC_sub-control001sub-experimental004_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental005	0	0.152746357580345	0	0.212025378181162	0	-0.00195836491593227	0	0.00315369865526573	0	ISFC_sub-control001sub-experimental005_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental006	0	0.166194088187046	0	-0.106425398789329	0	0.000827612046472665	0	0.00615400065114746	0	ISFC_sub-control001sub-experimental006_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental008	0	0.00129508956673633	0	0.152998322614984	0	0.0305782203491958	0	0.054247123667966	0	ISFC_sub-control001sub-experimental008_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental010	0	-0.0357938831934283	0	-0.104002948637956	0	0.0433837506059415	0	0.0766740983242267	0	ISFC_sub-control001sub-experimental010_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental012	0	-0.0187327282285986	0	-0.526196741314136	0	-0.0344479020207009	0	-0.0567091340514299	0	ISFC_sub-control001sub-experimental012_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental014	0	0.054419450890034	0	-0.0487896333223914	0	-0.0107123580743522	0	-0.00953418218723114	0	ISFC_sub-control001sub-experimental014_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental016	0	-0.307284254470595	0	0.0460843599734737	0	0.017534435009202	0	0.0387179732773445	0	ISFC_sub-control001sub-experimental016_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental018	0	0.100178012912899	0	-0.0899855006590424	0	0.0351304097494519	0	0.0650318338041864	0	ISFC_sub-control001sub-experimental018_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental020	0	0.488484975605959	0	-0.0725717385070075	0	-0.0110978330956968	0	-0.0087697869394229	0	ISFC_sub-control001sub-experimental020_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental022	0	-0.00619718052362262	0	-0.0267308276098032	0	-0.00184690527609961	0	-0.000752274897682132	0	ISFC_sub-control001sub-experimental022_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental024	0	0.265305539664546	0	-0.0176824124552212	0	0.00723889992928808	0	0.0160108105672161	0	ISFC_sub-control001sub-experimental024_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental026	0	-0.077150025777073	0	-0.188841558160978	0	0.0106753186429759	0	0.0269503652923235	0	ISFC_sub-control001sub-experimental026_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental028	0	-0.0235961025859585	0	0.40672443382046	0	0.00716815155004437	0	0.0148227900775222	0	ISFC_sub-control001sub-experimental028_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental030	0	-0.116246636826449	0	-0.140225148852315	0	0.03258334450755	0	0.0664559168980539	0	ISFC_sub-control001sub-experimental030_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental032	0	0.203531518650938	0	-0.367635688671596	0	0.00687943942115482	0	0.0142652447787282	0	ISFC_sub-control001sub-experimental032_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental034	0	-0.0499211754837728	0	-0.0616653813170151	0	0.0279855754460876	0	0.0550385562505927	0	ISFC_sub-control001sub-experimental034_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental036	0	0.135494445225103	0	-0.2004921797569	0	0.0108045458435978	0	0.0246892413265722	0	ISFC_sub-control001sub-experimental036_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental038	0	0.172163652366254	0	0.133160611780769	0	0.00138465312009021	0	0.00788197205707948	0	ISFC_sub-control001sub-experimental038_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental040	0	-0.158641237885156	0	-0.203221305587693	0	0.00190303517374665	0	0.0113657603736986	0	ISFC_sub-control001sub-experimental040_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental042	0	-0.083348126830988	0	-0.0119416950922973	0	-0.0169338036592983	0	-0.019338114196523	0	ISFC_sub-control001sub-experimental042_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental044	0	0.00239374116812828	0	-0.073377802855267	0	-0.0306856803663059	0	-0.0478009987079407	0	ISFC_sub-control001sub-experimental044_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental046	0	0.0477799704063154	0	-0.048425861462513	0	-0.0123147705150892	0	-0.0190725320442186	0	ISFC_sub-control001sub-experimental046_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental048	0	0.082501286867341	0	-0.146724589571335	0	-0.00177353255952276	0	0.00359251362867849	0	ISFC_sub-control001sub-experimental048_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control001	sub-experimental050	0	0.348076356899212	0	0.201323402730445	0	-0.0026355592708739	0	0.00125797484709653	0	ISFC_sub-control001sub-experimental050_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control003	1	-0.266250985819397	-0.266250985819397	0.17603048702059	0.17603048702059	-0.0245894638491923	-0.0245894638491923	-0.0495005002887562	-0.0495005002887562	ISFC_sub-control002sub-control003_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control007	1	-0.111125252241886	-0.111125252241886	0.0591410678473391	0.0591410678473391	0.00159721333347554	0.00159721333347554	-0.00542020435709381	-0.00542020435709381	ISFC_sub-control002sub-control007_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control009	1	0.088233326747326	0.088233326747326	0.518886760092117	0.518886760092117	-0.0212578813629648	-0.0212578813629648	-0.0491968523751509	-0.0491968523751509	ISFC_sub-control002sub-control009_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control011	1	-0.155726647604459	-0.155726647604459	0.118852598111273	0.118852598111273	-0.000871768809705904	-0.000871768809705904	-0.00541026170539347	-0.00541026170539347	ISFC_sub-control002sub-control011_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control013	1	-0.266798854455801	-0.266798854455801	-0.00168560058575001	-0.00168560058575001	-0.00889513777264272	-0.00889513777264272	-0.027183805050347	-0.027183805050347	ISFC_sub-control002sub-control013_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control015	1	-0.351775084264379	-0.351775084264379	0.201245972813959	0.201245972813959	0.00123015322670386	0.00123015322670386	-0.00701750003274372	-0.00701750003274372	ISFC_sub-control002sub-control015_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control017	1	-0.0831465966598599	-0.0831465966598599	0.366862752658329	0.366862752658329	-0.0203160215322901	-0.0203160215322901	-0.0403097354049147	-0.0403097354049147	ISFC_sub-control002sub-control017_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control019	1	0.015494699312658	0.015494699312658	0.261663279059375	0.261663279059375	-0.0393496143734711	-0.0393496143734711	-0.0766965758051367	-0.0766965758051367	ISFC_sub-control002sub-control019_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control021	1	0.0605729153096359	0.0605729153096359	0.178653753574818	0.178653753574818	-0.036875633195402	-0.036875633195402	-0.0759441192879566	-0.0759441192879566	ISFC_sub-control002sub-control021_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control023	1	-0.13506789519781	-0.13506789519781	0.46633038171441	0.46633038171441	-0.00451843531497301	-0.00451843531497301	-0.0135487640222289	-0.0135487640222289	ISFC_sub-control002sub-control023_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control025	1	-0.120148777752605	-0.120148777752605	0.165693885709554	0.165693885709554	-0.0175138678586831	-0.0175138678586831	-0.0416313109663904	-0.0416313109663904	ISFC_sub-control002sub-control025_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control027	1	0.209840408875535	0.209840408875535	-0.0860335489356158	-0.0860335489356158	-0.0114189482626864	-0.0114189482626864	-0.0297769591546453	-0.0297769591546453	ISFC_sub-control002sub-control027_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control029	1	-0.349392817452048	-0.349392817452048	0.129463413667361	0.129463413667361	-0.00156134397746189	-0.00156134397746189	-0.00859832427917574	-0.00859832427917574	ISFC_sub-control002sub-control029_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control031	1	0.353296479345733	0.353296479345733	-0.323924376416593	-0.323924376416593	-0.000941837764084369	-0.000941837764084369	-0.0225842831292946	-0.0225842831292946	ISFC_sub-control002sub-control031_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control033	1	0.0976428553032988	0.0976428553032988	0.104970684377927	0.104970684377927	-0.00163296253805827	-0.00163296253805827	-0.0132076052160044	-0.0132076052160044	ISFC_sub-control002sub-control033_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control035	1	0.295028461310989	0.295028461310989	-0.102097599800935	-0.102097599800935	0.0352415893574418	0.0352415893574418	0.0478582496327946	0.0478582496327946	ISFC_sub-control002sub-control035_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control037	1	-0.448936516163544	-0.448936516163544	0.169656659236117	0.169656659236117	0.0113313725191276	0.0113313725191276	0.00958084869093176	0.00958084869093176	ISFC_sub-control002sub-control037_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control039	1	-0.0408655133078346	-0.0408655133078346	0.440377809946068	0.440377809946068	-0.0165302022116526	-0.0165302022116526	-0.0362725601429542	-0.0362725601429542	ISFC_sub-control002sub-control039_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control041	1	-0.00484606755558573	-0.00484606755558573	0.045118004551889	0.045118004551889	-0.00493937655394474	-0.00493937655394474	-0.0166777964313389	-0.0166777964313389	ISFC_sub-control002sub-control041_task-magictrickwatching_mask-VTA_z.nii.gz	\
sub-control002	sub-control043	1	-0.357970785097154	-0.357970785097154	0.312986828731895	0.312986828731895	-0.0110645122740108	-0.0110645122740108	-0.0251769831225319	-0.0251769831225319	ISFC_sub-control002sub-control043_task-magictrickwatching_mask-VTA_z.nii.gz	\
