sub_a_roi1,sub_a_roi2,sub_b_roi1,sub_b_roi2
-0.0406796,-0.154297,0.411709,0.62457
-0.153009,-0.0462676,-0.191463,0.0246939
0.0472314,0.102068,-0.105509,-0.279073
-0.0943554,-0.266153,-0.593492,-0.219908
-0.154638,0.220474,0.0854293,0.334723
0.14545,0.222876,0.457702,0.207303
-0.0641107,-0.409511,0.0547702,0.0617844
-0.115153,-0.0889703,-0.340356,0.337802
0.128204,0.00297441,-0.260807,0.00635956
-0.029461,0.0855085,-0.394621,-0.392952
-0.0967626,-0.122248,0.115753,-0.286437
-0.135078,-0.289284,-0.242945,-0.199308
0.136576,-0.216871,-0.132161,0.0177211
0.382289,-0.13229,0.105379,0.176765
0.382933,-0.188981,-0.298966,0.130916
0.287188,-0.107446,-0.350614,-0.110731
-0.0422024,-0.118837,-0.831351,-0.224936
-0.0814741,0.0365034,-0.388071,-0.249762
-0.183817,-0.0390376,-0.0588666,-0.114034
-0.261369,-0.216037,0.1172,0.318092
0.0656482,0.0332711,-0.306248,0.380621
0.312641,0.129058,-0.0422441,0.227118
-0.0985554,-0.25602,0.273763,0.166733
-0.6388,-0.42702,0.095987,0.217556
-0.0813741,-0.380772,-0.429881,0.0795469
0.207249,0.0856417,-0.782555,-0.0812971
0.270327,0.321864,-0.509843,0.281809
-0.129454,0.0467805,0.0945695,-0.0926547
0.0422288,-0.115206,0.448163,-0.115834
0.371701,0.245844,0.0783831,0.248151
0.161814,-0.14031,0.246378,0.199643
-0.282409,0.428741,-0.310875,-0.254845
-0.0934907,0.38324,-0.171283,0.256163
-0.0817085,0.0565209,-0.0376712,-0.033489
-0.17036,-0.321845,-0.24687,-0.128863
-0.500158,-0.143472,0.334042,0.122829
-0.103064,-0.334021,0.115879,0.439065
0.261861,0.0607699,0.152995,0.240403
-0.0164592,0.23936,-0.349677,0.252952
0.136269,-0.166719,-0.0258225,0.210113
-0.031044,-0.385467,-0.328229,-0.20947
-0.0376252,-0.169226,-0.36736,0.0380686
0.370238,-0.108728,-0.49868,-0.354813
0.00195955,0.144176,-0.542173,-0.525924
0.375371,0.32225,-0.65039,-0.611981
-0.328504,0.0914071,-0.347119,-0.585813
0.0960297,0.389245,0.219401,-0.0429867
0.0519731,0.0545343,-0.254247,-0.385621
-0.171008,-0.140521,-0.393529,-0.144639
0.0859277,-0.0150039,0.0498721,-0.133621
0.0149953,0.260871,-0.1658,0.0908138
0.0389437,0.116122,-0.358151,0.13985
0.515083,0.478184,-0.256722,0.1396
-0.234005,-0.107785,-0.191564,0.277722
0.0293539,-0.168102,-0.444931,0.348812
-0.090728,-0.0185651,-0.383577,0.33174
