vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
1.99921060899942	8.02354928999921	37.3938842580028	31.369545577003	31.9727726300007	30.8942013751026	1	02_H10_combined_small.mp4	3	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	1	1
61.9983589850017	68.0020733769998	42.4416841339993	36.4379697420012	37.9961690120002	36.4234197084607	2	29_H36_combined_small.mp4	4	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
131.994120231	138.032963243	39.644002451001	33.605159439001	33.965445971	33.6341225920405	3	03_H16_combined_small.mp4	4	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	1	1
199.993727071	205.998868938001	43.698764537999	37.693622670998	37.998839588999	37.6629260223786	4	01_H35_combined_small.mp4	4	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	4	1	1
265.996193630999	271.996770004	52.331978345003	46.331401972002	47.999656901	46.3025988685004	5	17_Trick37_combined_small.mp4	2	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
341.994896444001	348.030325472002	58.681642846001	52.646213818	53.964343271	52.6587213310596	6	25_S25_combined_small.mp4	3	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
423.993581502	429.994682242999	37.921129515002	31.920028774003	31.999039010003	31.9239211945211	7	30_H15_combined_small.mp4	2	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
483.992491019002	490.021401372	30.245064790997	24.216154437999	25.973514189001	24.2467611438218	8	28_K24_combined_small.mp4	1	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
539.992176996999	545.994656906001	27.8488181290011	21.8463382199991	21.9985090470001	21.8244762031405	9	33_S21_combined_small.mp4	2	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	5	1	1
589.991410201001	595.994752720002	37.8444446259999	31.841102106999	31.997262712997	31.8447841705422	10	14_K19_long_combined_small.mp4	4	forgotten	forgotten	remembered	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
