vid	mock	duration_vid	duration_vid_withoutMock	duration_vid_withoutMock_postFixation	avgVidDur_MAGMOT	trial	stim_file	responseCuriosity	trial_type_cuedRecallStrict	trial_type_cuedRecallLenient	trial_type_allConf	trial_type_highConf	trial_type_aboveAvgConf	trial_type_rememberedStrictAboveAvg	trial_type_rememberedLenientAboveAvg	trial_type_rememberedStrictHigh	trial_type_rememberedLenientHigh	responseConfidence	run	acq
2.00091796100605	8.00144843102316	40.1654812030028	34.1649507329857	35.9990670099796	33.6341225920405	1	03_H16_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	4	1	1
65.9999012320186	72.0353052800056	28.6530033999879	22.6175993520009	23.96446908699	22.64704779386	2	16_H19_combined_small.mp4	2	forgotten	forgotten	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	4	1	1
121.99762331802	127.999892694002	52.654171438976	46.651902062994	47.998836511019	46.647059667818	3	19_H17_combined_small.mp4	5	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	remembered	6	1	1
203.996888308	210.030701701005	37.937602284015	31.90378889101	31.967098305002	31.9239211945211	4	30_H15_combined_small.mp4	3	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	4	1	1
263.996075689996	270.032108129002	38.503608443018	32.467576004012	33.964921642997	32.4644825294189	5	04_S9_combined_small.mp4	1	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
325.994444365002	331.998013139004	32.171561305993	26.167992531991	27.998854620004	26.1415626367406	6	20_Trick20_short_combined_small.mp4	6	remembered	remembered	remembered	forgotten	forgotten	remembered	remembered	remembered	remembered	3	1	1
381.994563084008	388.024865004001	31.934576328	25.904274408007	25.971120268019	25.9062785054989	7	31_K3_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	3	1	1
435.993438678008	441.996089862019	43.700455415994	37.697804231983	37.997965611983	37.6629260223786	8	01_H35_combined_small.mp4	1	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	5	1	1
503.993599341018	509.99531749601	37.209533891	31.207815736008	31.997887667996	31.2049305464777	9	05_K4_combined_small.mp4	6	remembered	remembered	forgotten	forgotten	forgotten	remembered	remembered	remembered	remembered	4	1	1
563.992294255004	570.027923446003	58.7028560290049	52.6672268380059	53.96383159401	52.6587213310596	10	25_S25_combined_small.mp4	5	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	forgotten	2	1	1
